photo_filename,width,height,class,xmin,ymin,xmax,ymax
charlotte_1019088214340003257_20150630.jpg,640,640,Nike,339,394,381,439
charlotte_1056018576661922536_20150820.jpg,640,640,Nike,497,0,574,30
charlotte_1057610050380125945_20150823.jpg,1080,1080,Nike,353,406,473,477
charlotte_1061715143228072770_20150828.jpg,1080,1349,Nike,13,51,330,198
charlotte_1081463278280976819_20150925.jpg,612,612,Nike,485,30,580,69
charlotte_1082081051239374959_20150925.jpg,1080,1080,Nike,245,66,444,217
charlotte_1083355360592427543_20150927.jpg,1080,1080,Nike,205,812,288,868
charlotte_1083401334535179065_20150927.jpg,612,612,Nike,486,29,579,69
charlotte_1095090726797805186_20151013.jpg,640,640,Nike,509,32,606,74
charlotte_1095182463148063803_20151013.jpg,1080,1350,Nike,636,961,784,1123
charlotte_1098694918883371639_20151018.jpg,1080,1080,Nike,211,526,347,615
charlotte_1102923093559315413_20151024.jpg,1080,1080,Nike,470,394,603,453
charlotte_1104553083525159441_20151026.jpg,612,612,Nike,485,30,580,71
charlotte_1111938969544043724_20151106.jpg,750,750,Nike,349,442,412,479
charlotte_1113365347102947260_20151108.jpg,640,640,Nike,59,436,167,515
charlotte_1114072763758803985_20151109.jpg,1080,1080,Nike,71,701,196,757
charlotte_1119004427496755048_20151115.jpg,1080,1080,Nike,426,610,500,667
charlotte_1119045777354943948_20151115.jpg,480,480,Nike,210,375,259,403
charlotte_1124819053831098862_20151123.jpg,1080,862,Nike,156,355,225,398
charlotte_1125368159375427489_20151124.jpg,1080,1080,Nike,468,390,595,447
charlotte_1126375295828875587_20151125.jpg,1080,1080,Nike,412,512,506,568
charlotte_1126845289076833646_20151126.jpg,1080,1080,Nike,695,764,798,872
charlotte_1128642043697021959_20151129.jpg,1080,1080,Nike,402,405,553,465
charlotte_1129156039527640864_20151129.jpg,1080,1080,Nike,446,594,569,653
charlotte_1133530826240601536_20151205.jpg,1080,1080,Nike,417,890,574,957
charlotte_1133666246761402269_20151206.jpg,750,750,Nike,306,666,423,717
charlotte_1139870487296807162_20151214.jpg,1080,1349,Nike,151,757,267,926
charlotte_1149565892313440469_20151227.jpg,1080,1080,Nike,982,716,1079,770
charlotte_1150938621379192999_20151229.jpg,1080,1080,Nike,788,720,1036,811
charlotte_1153840718258277753_20160102.jpg,612,612,Nike,486,28,581,70
charlotte_1158322645372514272_20160109.jpg,1080,1180,Nike,445,266,519,330
charlotte_1158983202533371053_20160109.jpg,1080,1350,Nike,452,960,663,1054
